New data for core MD01-2446,,"C. wuellerstorfi B/Ca (""Mg-cleaning"") and derived CO32-.",,,
cm,cm,cm,kyr,umol/mol,umol/kg
depth-top,depth-btm,mid depth,age,Cw B/Ca,CO3
18,20,19,2.6,193,105
18,20,19,2.6,193,104
300,302,301,50.6,199,110
304,306,305,51.3,202,112
308,310,309,52,208,118
312,314,313,52.7,207,117
316,318,317,53.4,185,97
320,322,321,54.1,193,105
344,346,345,58.3,183,96
348,350,349,59,183,96
352,354,353,59.7,173,87
356,358,357,60.4,165,80
360,362,361,61.1,169,84
364,366,365,61.8,169,84
376,378,377,63.9,174,88
380,382,381,64.6,167,82
384,386,385,65.5,175,89
388,390,389,66.6,161,76
392,394,393,67.6,169,83
396,398,397,68.7,172,86
400,402,401,69.8,179,93
404,406,405,70.8,192,104
408,410,409,71.9,188,101
412,414,413,72.9,181,94
416,418,417,74,184,97
420,422,421,75.1,183,96
424,426,425,76.1,183,96
428,430,429,77.2,190,102
432,434,433,78.2,184,97
436,438,437,79.3,197,108
440,442,441,80.4,193,105
444,446,445,81.4,184,97
448,450,449,82.5,189,101
452,454,453,83.5,193,104
456,458,457,84.5,194,105
460,462,461,85.4,202,112
464,466,465,86.4,189,101
468,470,469,87.4,193,105
