New data for core MD95-2039,,,,,
C. wuellerstorfi d18O and d13C,,,,,
Top,Base,Mid,age,cw d18O,cw d13C
1300,1301,1300.5,52.2,3.797,0.242
1302,1303,1302.5,52.3,3.720,0.659
1304,1305,1304.5,52.3,3.757,0.048
1306,1307,1306.5,52.4,3.814,0.212
1308,1309,1308.5,52.5,3.762,0.703
1310,1311,1310.5,52.6,3.669,0.429
1312,1313,1312.5,52.6,3.825,0.295
1314,1315,1314.5,52.7,3.824,0.436
1316,1317,1316.5,52.8,3.753,0.478
1318,1320,1319,52.9,3.823,0.286
1320,1322,1321,52.9,3.741,0.323
1323,1324,1323.5,53.0,3.961,0.503
1324,1325,1324.5,53.1,3.972,0.391
1326,1327,1326.5,53.1,3.923,0.498
1328,1329,1328.5,53.2,3.998,0.604
1330,1331,1330.5,53.3,3.709,0.571
1332,1333,1332.5,53.4,3.908,0.351
1334,1335,1334.5,53.4,3.954,0.554
1336,1337,1336.5,53.5,3.748,0.584
1338,1339,1338.5,53.6,3.877,0.552
1340,1341,1340.5,53.6,3.945,0.577
1342,1343,1342.5,53.7,3.886,0.508
1344,1345,1344.5,53.8,3.840,0.566
1346,1347,1346.5,53.9,3.845,0.391
1348,1349,1348.5,53.9,3.784,0.604
1350,1352,1351,54.0,3.779,0.491
1353,1354,1353.5,54.1,3.853,0.367
1357,1358,1357.5,54.3,3.823,0.370
1359,1360,1359.5,54.3,3.780,0.370
1361,1362,1361.5,54.4,3.759,0.370
1363,1364,1363.5,54.5,3.700,0.361
1365,1366,1365.5,54.5,3.660,0.155
1367,1368,1367.5,54.6,3.703,0.272
1368,1370,1369,54.7,3.714,-0.083
1370,1372,1371,54.7,3.647,0.221
1374,1375,1374.5,54.9,3.730,-0.129
1378,1379,1378.5,55.0,3.817,0.243
1380,1381,1380.5,55.1,3.747,-0.204
1382,1383,1382.5,55.2,3.705,0.500
1384,1385,1384.5,55.2,3.660,0.233
1386,1387,1386.5,55.3,3.795,0.352
1388,1389,1388.5,55.4,3.749,0.036
1392,1393,1392.5,55.5,3.804,0.115
1394,1395,1394.5,55.6,3.702,0.035
1396,1397,1396.5,55.7,3.885,-0.116
1406,1407,1406.5,56.0,3.673,0.328
1420,1421,1420.5,57.1,3.831,0.104
1426,1428,1427,57.6,3.760,-0.112
1430,1432,1431,57.9,4.023,-0.094
1434,1435,1434.5,58.2,3.932,-0.287
1442,1443,1442.5,58.8,4.076,0.049
1444,1445,1444.5,59.0,4.051,-0.193
1446,1447,1446.5,59.1,3.763,-0.187
1452,1453,1452.5,59.6,4.286,0.079
1456,1457,1456.5,59.9,4.162,0.007
1458,1460,1459,60.1,4.157,0.120
1460,1461,1460.5,60.2,4.084,0.065
1462,1463,1462.5,60.4,4.091,0.074
1464,1465,1464.5,60.5,4.102,0.070
1466,1467,1466.5,60.7,4.039,0.159
1468,1469,1468.5,60.8,3.868,-0.369
1470,1471,1470.5,61.0,3.805,-0.136
1472,1473,1472.5,61.2,4.058,-0.003
1478,1479,1478.5,61.6,4.077,0.001
1480,1481,1480.5,61.8,4.060,-0.272
1482,1483,1482.5,61.9,4.104,0.014
1484,1486,1485,62.1,4.095,0.044
1486,1488,1487,62.3,4.113,-0.076
1488,1489,1488.5,62.4,4.028,-0.136
1492,1494,1493,62.8,4.107,-0.068
1498,1499,1498.5,63.2,4.172,0.083
1500,1501,1500.5,63.3,4.140,-0.086
1502,1503,1502.5,63.5,4.096,-0.032
1504,1505,1504.5,63.6,4.039,0.021
1506,1507,1506.5,63.8,4.050,-0.018
1510,1511,1510.5,64.1,4.023,0.080
1512,1513,1512.5,64.3,4.024,-0.258
1516,1517,1516.5,64.6,4.089,-0.239
1518,1519,1518.5,64.7,4.043,0.308
1520,1521,1520.5,64.9,4.018,0.099
1522,1523,1522.5,65.1,4.012,0.092
1524,1525,1524.5,65.3,4.135,0.115
1526,1527,1526.5,65.6,4.087,0.114
1528,1529,1528.5,65.8,4.100,0.281
1530,1531,1530.5,66.1,4.172,-0.023
1532,1533,1532.5,66.4,4.072,0.226
1534,1535,1534.5,66.6,4.104,0.252
1536,1537,1536.5,66.9,4.103,0.226
1538,1539,1538.5,67.1,4.011,0.199
1540,1541,1540.5,67.4,3.925,-0.247
1542,1543,1542.5,67.6,4.006,0.225
1546,1547,1546.5,68.2,3.941,0.447
1548,1549,1548.5,68.4,4.006,0.226
1550,1551,1550.5,68.7,3.911,0.210
1552,1553,1552.5,68.9,3.904,0.275
1554,1555,1554.5,69.2,3.919,0.338
1556,1557,1556.5,69.4,3.791,0.164
1558,1559,1558.5,69.7,3.551,0.272
1560,1561,1560.5,70.0,3.767,0.178
1562,1563,1562.5,70.2,3.646,0.317
1564,1565,1564.5,70.5,3.364,0.503
1566,1567,1566.5,70.7,3.646,0.341
1568,1569,1568.5,71.0,3.593,0.199
1572,1573,1572.5,71.5,3.773,0.662
1574,1575,1574.5,71.8,3.879,0.437
1578,1579,1578.5,72.3,3.612,0.827
1580,1581,1580.5,72.5,3.588,0.685
1582,1583,1582.5,72.8,3.609,0.533
1584,1585,1584.5,73.0,3.400,0.483
1586,1587,1586.5,73.3,3.392,0.618
1588,1589,1588.5,73.6,3.586,0.654
1590,1591,1590.5,73.8,3.525,0.721
1592,1593,1592.5,74.1,3.595,-0.020
1594,1595,1594.5,74.3,3.634,0.934
1596,1597,1596.5,74.6,3.504,-0.029
1598,1599,1598.5,74.8,3.383,0.112
1600,1601,1600.5,75.1,3.528,0.726
1602,1603,1602.5,75.4,3.485,0.770
1604,1605,1604.5,75.6,3.291,0.322
1606,1607,1606.5,75.9,3.380,-0.578
1608,1609,1608.5,76.1,3.435,0.256
1610,1611,1610.5,76.4,3.750,0.700
1612,1613,1612.5,76.6,3.630,0.948
1614,1615,1614.5,76.9,3.622,0.590
1616,1617,1616.5,77.2,3.547,0.630
1618,1619,1618.5,77.4,3.606,0.386
1620,1621,1620.5,77.7,3.492,0.664
1622,1623,1622.5,77.9,3.637,0.701
1624,1625,1624.5,78.2,3.564,0.602
1626,1627,1626.5,78.4,3.483,0.732
1628,1629,1628.5,78.7,3.343,0.755
1630,1631,1630.5,79.0,3.407,0.622
1632,1633,1632.5,79.2,3.411,0.571
1636,1637,1636.5,79.7,3.348,0.813
1638,1639,1638.5,80.0,3.364,0.623
1640,1641,1640.5,80.2,3.343,0.639
1642,1643,1642.5,80.5,3.424,0.765
1644,1645,1644.5,80.8,3.259,0.542
1646,1647,1646.5,81.0,3.295,0.674
1648,1649,1648.5,81.3,3.299,0.904
1650,1651,1650.5,81.5,3.347,0.424
1652,1653,1652.5,81.8,3.293,0.602
1654,1655,1654.5,82.0,3.320,0.618
1656,1657,1656.5,82.3,3.241,0.886
1658,1659,1658.5,82.6,3.205,0.583
1660,1661,1660.5,82.8,3.185,0.593
1662,1663,1662.5,83.1,3.203,0.665
1664,1665,1664.5,83.4,3.158,0.770
1666,1667,1666.5,83.7,3.267,0.332
1668,1669,1668.5,84.0,3.226,0.659
1670,1671,1670.5,84.3,3.195,0.518
1672,1673,1672.5,84.6,3.349,0.219
1674,1675,1674.5,84.9,3.450,0.198
1678,1679,1678.5,85.6,3.282,0.207
1680,1681,1680.5,85.9,3.514,-0.094
1688,1689,1688.5,87.1,3.185,0.622
1690,1691,1690.5,87.4,3.510,0.209
1692,1693,1692.5,87.7,3.573,0.392
1694,1695,1694.5,88.0,3.613,0.777
1696,1697,1696.5,88.4,3.522,0.326
1700,1701,1700.5,89.0,3.724,0.777
1702,1703,1702.5,89.3,3.731,0.717
1704,1705,1704.5,89.6,3.720,0.640
1706,1707,1706.5,89.9,3.653,0.726
1708,1709,1708.5,90.2,3.688,0.795
1710,1711,1710.5,90.5,3.562,0.634
