New data for core MD95-2039,,,,,
"C. wuellerstorfi B/Ca (""Mg-cleaning"") and derived CO32-.",,,,,
Top,Base,Mid,age,B/Ca-Cw,CO3
1300,1303,1301.5,52.2,213,122
1306,1311,1308.5,52.5,182,95
1314,1317,1315.5,52.7,203,113
1330,1333,1331.5,53.3,200,111
1336,1337,1336.5,53.5,208,118
1340,1343,1341.5,53.7,212,121
1353,1356,1354.5,54.1,201,112
1361,1364,1362.5,54.4,194,106
1365,1370,1367.5,54.6,196,107
1468,1473,1470.5,61.0,163,78
1522,1527,1524.5,65.3,169,84
1530,1535,1532.5,66.4,174,88
1550,1555,1552.5,68.9,182,95
1556,1563,1559.5,69.8,180,93
1574,1577,1575.5,71.9,189,101
1578,1583,1580.5,72.5,192,104
1584,1587,1585.5,73.2,195,106
1590,1593,1591.5,73.9,207,117
1596,1601,1598.5,74.8,196,107
1604,1609,1606.5,75.9,202,112
1614,1619,1616.5,77.2,195,106
1620,1623,1621.5,77.8,196,107
1624,1625,1624.5,78.2,198,109
1634,1639,1636.5,79.7,197,108
1646,1649,1647.5,81.1,205,115
1654,1657,1655.5,82.2,207,117
1668,1671,1669.5,84.2,193,105
1708,1711,1709.5,90.4,202,112
