"C. wuellerstorfi B/Ca data (""Mg-cleaning"") for core RC16-59",,,,
,,,,
depth cm,age,Cw B/Ca,CO3,ref
0,0.1,212,111,"Broecker et al., 2015 EPSL"
10,3.7,214,113,"Broecker et al., 2015 EPSL"
20,7.3,212,111,"Broecker et al., 2015 EPSL"
30,10.8,194,95,"Broecker et al., 2015 EPSL"
40,14.4,193,95,"Broecker et al., 2015 EPSL"
47,16.9,192,93,"Broecker et al., 2015 EPSL"
60,20.4,201,102,"Broecker et al., 2015 EPSL"
70,22.7,188,90,"Broecker et al., 2015 EPSL"
80,25.1,203,103,"Broecker et al., 2015 EPSL"
90,27.4,178,81,"Broecker et al., 2015 EPSL"
100,29.8,191,93,"Broecker et al., 2015 EPSL"
110,32.1,197,98,"Broecker et al., 2015 EPSL"
110,32.1,198,99,"Broecker et al., 2015 EPSL"
120,34.5,210,109,"Broecker et al., 2015 EPSL"
120,34.5,204,104,"Broecker et al., 2015 EPSL"
130,36.8,211,110,"Broecker et al., 2015 EPSL"
140,39.2,205,105,"Broecker et al., 2015 EPSL"
150,41.5,203,103,"Broecker et al., 2015 EPSL"
160,43.9,200,101,"Broecker et al., 2015 EPSL"
170,46.2,204,104,"Broecker et al., 2015 EPSL"
180,48.6,205,105,"Broecker et al., 2015 EPSL"
190,50.9,208,107,"Broecker et al., 2015 EPSL"
200,53.3,199,99,"Broecker et al., 2015 EPSL"
210,55.6,200,101,"Broecker et al., 2015 EPSL"
210,55.6,207,106,"Broecker et al., 2015 EPSL"
220,58,201,102,"Broecker et al., 2015 EPSL"
224,58.9,175,78,this study
230,60.3,170,74,"Broecker et al., 2015 EPSL"
234,61.2,157,63,this study
240,62.7,174,78,"Broecker et al., 2015 EPSL"
240,62.7,159,65,this study
242,63.1,151,58,this study
242,63.1,146,53,this study
246,64.1,160,65,this study
250,65,165,69,"Broecker et al., 2015 EPSL"
252,65.7,171,75,this study
254,66.3,145,52,this study
260,68.3,166,70,"Broecker et al., 2015 EPSL"
264,69.6,187,89,this study
270,71.5,193,94,"Broecker et al., 2015 EPSL"
280,74.8,206,105,"Broecker et al., 2015 EPSL"
290,78.1,208,108,"Broecker et al., 2015 EPSL"
300,81.4,207,106,"Broecker et al., 2015 EPSL"
310,84.3,202,102,"Broecker et al., 2015 EPSL"
320,87,182,85,"Broecker et al., 2015 EPSL"
330,89.7,224,122,"Broecker et al., 2015 EPSL"
340,92.3,211,110,"Broecker et al., 2015 EPSL"
350,95,210,109,"Broecker et al., 2015 EPSL"
360,97.7,209,109,"Broecker et al., 2015 EPSL"
370,101.4,205,105,"Broecker et al., 2015 EPSL"
380,106.2,190,92,"Broecker et al., 2015 EPSL"
390,111,212,111,"Broecker et al., 2015 EPSL"
400,115.8,212,111,"Broecker et al., 2015 EPSL"
410,120.6,209,108,"Broecker et al., 2015 EPSL"
420,124.9,220,118,"Broecker et al., 2015 EPSL"
430,128.6,193,94,"Broecker et al., 2015 EPSL"
440,132.3,187,89,"Broecker et al., 2015 EPSL"
450,136,197,98,"Broecker et al., 2015 EPSL"
450,136,200,101,"Broecker et al., 2015 EPSL"
460,139.7,188,89,"Broecker et al., 2015 EPSL"
470,143.4,195,96,"Broecker et al., 2015 EPSL"
480,147.1,186,88,"Broecker et al., 2015 EPSL"
490,150.9,185,87,"Broecker et al., 2015 EPSL"
490,150.9,182,85,"Broecker et al., 2015 EPSL"
501,154.9,189,91,"Broecker et al., 2015 EPSL"
510,158.3,195,96,"Broecker et al., 2015 EPSL"
