New data for core TNO57-21,,,,,
cm,cm,cm,kyr,umol/mol,umol/kg
top,btm,mid,age,Cw B/Ca,CO3
815,816,815.5,51.9,123.4,83.3
853,854,853.5,54.6,128.8,88
916,917,916.5,60.7,114,75
925,926,925.5,61.4,113.3,74.5
936,937,936.5,62.3,111.3,72.7
945,946,945.5,63,114.1,75.2
975,976,975.5,66,114.5,75.5
987,988,987.5,67.4,113.8,74.9
1007,1008,1007.5,68.6,110.2,71.8
1013,1014,1013.5,68.9,117.8,78.4
1018,1019,1018.5,69.2,124,83.8
1023,1024,1023.5,69.4,121.1,81.3
1028,1029,1028.5,69.7,127.1,86.6
1033,1035,1034,70,125.4,85.1
1037,1038,1037.5,70.2,132.8,91.5
1038,1039,1038.5,70.2,124.6,84.4
1039,1040,1039.5,70.3,124.3,84.1
1047,1048,1047.5,70.9,121.9,82
1057,1058,1057.5,71.6,124.5,84.3
1063,1064,1063.5,72.1,122.4,82.4
1077,1078,1077.5,73.2,123,83
1083,1084,1083.5,73.6,131,90
1083,1084,1083.5,73.6,132.3,91.1
1093,1094,1093.5,74,137.5,95.7
1097,1098,1097.5,74.2,128.5,87.8
1102,1103,1102.5,74.4,136.4,94.7
1107,1108,1107.5,74.6,123.1,83.1
1113,1114,1113.5,74.9,128.4,87.7
1127,1128,1127.5,75.6,125.4,85.1
1137,1138,1137.5,76.1,127.1,86.6
1147,1148,1147.5,76.6,125.1,84.8
1157,1158,1157.5,77.2,130.2,89.3
1167,1168,1167.5,77.8,135.1,93.6
1173,1174,1173.5,78.2,139.4,97.4
1173,1174,1173.5,78.2,139.6,97.5
1177,1178,1177.5,78.4,134.9,93.4
1178,1179,1178.5,78.5,134.3,92.9
1183,1184,1183.5,78.8,134.8,93.3
1187,1188,1187.5,79.1,127.7,87.1
1197,1198,1197.5,79.8,126.8,86.3
1204,1205,1204.5,80.4,133.2,91.9
1213,1214,1213.5,81.1,133.1,91.8
1218,1219,1218.5,81.6,131.9,90.8
1251,1252,1251.5,85.8,122.1,82.1
1251,1252,1251.5,85.8,119.7,80.1
1258,1259,1258.5,86.9,122.8,82.8
1265,1266,1265.5,88.3,123.1,83
1271,1272,1271.5,89.5,127.2,86.6
